# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'cycles:P'
# Event count (approx.): 3125203974595
#
# Overhead  Command        Shared Object               Symbol                                                    
# ........  .............  ..........................  ..........................................................
#
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] _dl_find_dso_for_object
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000097d3f
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x00000000000021cd
     0.00%  my_executable  [kernel.vmlinux]            [k] policy_nodemask
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000982a
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x0000000000009826
     0.00%  my_executable  [kernel.vmlinux]            [k] mutex_lock
     0.00%  my_executable  libucm.so.0.0.0             [.] ucm_event_enter
     0.00%  my_executable  libc.so.6                   [.] 0x00000000000876b0
     0.00%  my_executable  libc.so.6                   [.] __getpagesize
     0.00%  my_executable  [kernel.vmlinux]            [k] kick_pool
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000099404
     0.00%  my_executable  [kernel.vmlinux]            [k] perf_event__header_size
     0.00%  my_executable  [kernel.vmlinux]            [k] recalc_sigpending
     0.00%  my_executable  [kernel.vmlinux]            [k] perf_event_alloc
     0.00%  my_executable  libc.so.6                   [.] 0x000000000008b000
     0.00%  my_executable  [kernel.vmlinux]            [k] inherit_event.isra.0
     0.00%  my_executable  [kernel.vmlinux]            [k] list_add_event
     0.00%  my_executable  [kernel.vmlinux]            [k] kernfs_fop_read_iter
     0.00%  my_executable  [kernel.vmlinux]            [k] up_write
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x000000000000290b
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x000000000001ea60
     0.00%  my_executable  [kernel.vmlinux]            [k] x86_pmu_hw_config
     0.00%  my_executable  [kernel.vmlinux]            [k] get_random_bytes_user
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000027a3f
     0.00%  my_executable  libc.so.6                   [.] __libc_calloc
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000159843
     0.00%  my_executable  [kernel.vmlinux]            [k] path_openat
     0.00%  my_executable  libc.so.6                   [.] 0x000000000004d04d
     0.00%  my_executable  [kernel.vmlinux]            [k] find_get_pmu_context
     0.00%  my_executable  [kernel.vmlinux]            [k] do_statx
     0.00%  my_executable  [kernel.vmlinux]            [k] find_idlest_group
     0.00%  my_executable  libfabric.so.1.24.0         [.] fi_param_define
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000079258
     0.00%  my_executable  [kernel.vmlinux]            [k] _find_first_bit
     0.00%  my_executable  libc.so.6                   [.] 0x000000000005ebb9
     0.00%  my_executable  libc.so.6                   [.] 0x000000000005da0f
     0.00%  my_executable  [kernel.vmlinux]            [k] __alloc_pages_bulk
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000099439
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x0000000000023c08
     0.00%  my_executable  [kernel.vmlinux]            [k] x86_pmu_event_init
     0.00%  my_executable  libopen-pal.so.80.0.2       [.] 0x000000000003caa5
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x000000000001510d
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007316a
     0.00%  my_executable  [kernel.vmlinux]            [k] sysfs_kf_seq_show
     0.00%  my_executable  [kernel.vmlinux]            [k] __perf_event_task_sched_out
     0.00%  my_executable  [kernel.vmlinux]            [k] alloc_pages_mpol
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000984f
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000014e01
     0.00%  my_executable  [kernel.vmlinux]            [k] security_file_fcntl
     0.00%  my_executable  [kernel.vmlinux]            [k] __memcg_kmem_charge_page
     0.00%  my_executable  [kernel.vmlinux]            [k] set_nlink
     0.00%  my_executable  [kernel.vmlinux]            [k] __fput
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000015b05
     0.00%  my_executable  [kernel.vmlinux]            [k] wake_up_new_task
     0.00%  my_executable  [kernel.vmlinux]            [k] memcg_check_events
     0.00%  my_executable  [kernel.vmlinux]            [k] kernfs_fop_open
     0.00%  my_executable  [kernel.vmlinux]            [k] cp_new_stat
     0.00%  my_executable  [kernel.vmlinux]            [k] pci_read_config
     0.00%  my_executable  [kernel.vmlinux]            [k] build_open_flags
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x000000000000293a
     0.00%  my_executable  [kernel.vmlinux]            [k] deactivate_slab
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x00000000000028f3
     0.00%  my_executable  [kernel.vmlinux]            [k] get_futex_key
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x00000000000025a0
     0.00%  my_executable  [kernel.vmlinux]            [k] kernfs_seq_show
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x00000000000027d0
     0.00%  my_executable  libmpi.so.40.40.2           [.] ompi_mpi_init
     0.00%  my_executable  [kernel.vmlinux]            [k] rcu_core_si
     0.00%  my_executable  libc.so.6                   [.] 0x00000000001594b9
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000156924
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x00000000000025fa
     0.00%  my_executable  libc.so.6                   [.] 0x000000000004d094
     0.00%  my_executable  libc.so.6                   [.] 0x00000000001568b2
     0.00%  my_executable  [kernel.vmlinux]            [k] ep_poll_callback
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000159407
     0.00%  my_executable  libc.so.6                   [.] _IO_fgets
     0.00%  my_executable  libc.so.6                   [.] 0x000000000015ac9b
     0.00%  my_executable  [kernel.vmlinux]            [k] down_write
     0.00%  my_executable  libc.so.6                   [.] sched_setaffinity
     0.00%  my_executable  libc.so.6                   [.] 0x00000000001593e4
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000159643
     0.00%  my_executable  libc.so.6                   [.] __sched_cpufree
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x0000000000002614
     0.00%  my_executable  [kernel.vmlinux]            [k] __mem_cgroup_threshold
     0.00%  my_executable  libc.so.6                   [.] 0x000000000015ad9b
     0.00%  my_executable  libc.so.6                   [.] 0x000000000004d07c
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x0000000000002765
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x000000000000268d
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x0000000000002633
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000159446
     0.00%  my_executable  libc.so.6                   [.] 0x000000000004d198
     0.00%  my_executable  [kernel.vmlinux]            [k] strlen
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x00000000000027d5
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x00000000000027fb
     0.00%  my_executable  libc.so.6                   [.] 0x000000000009a31f
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000197d
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000157587
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x0000000000010e08
     0.00%  my_executable  libc.so.6                   [.] 0x000000000009abc7
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x00000000000025a3
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000157300
     0.00%  my_executable  libc.so.6                   [.] 0x000000000004d200
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x00000000000025a9
     0.00%  my_executable  libc.so.6                   [.] 0x000000000015a044
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x000000000000261a
     0.00%  my_executable  libc.so.6                   [.] 0x00000000001572e6
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x0000000000002660
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000018f0e
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x00000000000165f9
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x000000000001f451
     0.00%  my_executable  [kernel.vmlinux]            [k] make_vfsuid
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000013a9f
     0.00%  my_executable  libc.so.6                   [.] 0x000000000015876e
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x000000000000f3f1
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000014c04
     0.00%  my_executable  libc.so.6                   [.] __isoc23_sscanf
     0.00%  my_executable  [kernel.vmlinux]            [k] filp_flush
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000024c83
     0.00%  my_executable  [kernel.vmlinux]            [k] pci_user_read_config_dword
     0.00%  my_executable  [kernel.vmlinux]            [k] mutex_unlock
     0.00%  my_executable  [kernel.vmlinux]            [k] check_stack_object
     0.00%  my_executable  libhwloc.so.15.7.0          [.] hwloc_bitmap_or
     0.00%  my_executable  [kernel.vmlinux]            [k] __set_cpus_allowed_ptr
     0.00%  my_executable  [kernel.vmlinux]            [k] class_show
     0.00%  my_executable  [kernel.vmlinux]            [k] locks_remove_posix
     0.00%  my_executable  [kernel.vmlinux]            [k] __free_one_page
     0.00%  my_executable  libevent_core-2.1.so.7.0.1  [.] 0x0000000000022d03
     0.00%  my_executable  [kernel.vmlinux]            [k] may_open
     0.00%  my_executable  [kernel.vmlinux]            [k] lockref_get_not_dead
     0.00%  my_executable  [kernel.vmlinux]            [k] ktime_get_ts64
     0.00%  my_executable  [kernel.vmlinux]            [k] bpf_lsm_file_alloc_security
     0.00%  my_executable  [kernel.vmlinux]            [k] lockref_get
     0.00%  my_executable  [kernel.vmlinux]            [k] housekeeping_cpumask
     0.00%  my_executable  libpmix.so.2.9.5            [.] 0x00000000000ade8a
     0.00%  my_executable  libhwloc.so.15.7.0          [.] 0x00000000000399b0
     0.00%  my_executable  libhwloc.so.15.7.0          [.] 0x00000000000399c0
     0.00%  my_executable  [kernel.vmlinux]            [k] syscall_exit_to_user_mode_prepare
     0.00%  my_executable  libc.so.6                   [.] 0x00000000000993b0
     0.00%  my_executable  libhwloc.so.15.7.0          [.] hwloc_bitmap_weight
     0.00%  my_executable  libhwloc.so.15.7.0          [.] 0x000000000003a4c5
     0.00%  my_executable  libc.so.6                   [.] 0x000000000009941c
     0.00%  my_executable  [kernel.vmlinux]            [k] cred_fscmp
     0.00%  my_executable  [kernel.vmlinux]            [k] slab_update_freelist.isra.0
     0.00%  my_executable  [kernel.vmlinux]            [k] __x64_sys_sched_setaffinity
     0.00%  my_executable  [kernel.vmlinux]            [k] __kfence_free
     0.00%  my_executable  [kernel.vmlinux]            [k] __sched_setaffinity
     0.00%  my_executable  [kernel.vmlinux]            [k] sched_setaffinity
     0.00%  my_executable  [kernel.vmlinux]            [k] wake_up_var
     0.00%  my_executable  [kernel.vmlinux]            [k] affine_move_task
     0.00%  perf-exec      [kernel.vmlinux]            [k] perf_event_exec
     0.00%  my_executable  [kernel.vmlinux]            [k] end_repeat_nmi
     0.00%  perf-exec      [kernel.vmlinux]            [k] native_set_fixmap
     0.00%  my_executable  [kernel.vmlinux]            [k] intel_bts_enable_local
     0.00%  perf-exec      [kernel.vmlinux]            [k] native_write_msr


#
# (Tip: Print event counts in CSV format with: perf stat -x,)
#
